source_id,url,source_type,capture_date,capture_method,travel_state_label,what_was_extracted,confidence,review_required,notes
SRC-001,https://www.manitowoc.com/grove/all-terrain-cranes/gmk5150l,manufacturer,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),Grove GMK5150L product page identity; capacity 150 t; counterweight 44.5 t corroborated through search results,medium,false,"Primary source not directly readable in this environment; corroborated via cranepedia + cranemarket + LECTURA. Travel-state attribution between L and L-1 variants needs verification against this primary URL."
SRC-002,https://www.manitowoc.com/grove/all-terrain-cranes/gmk5150l-1,manufacturer,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),Grove GMK5150L-1 identity; successor 2021-2026; single-engine EUROMOT 5/Tier 4 final concept,medium,false,"Same access limitation as SRC-001; the L-1 variant's 30.9 t at 16.5 t/axle travel state is attributed to this URL via search summaries."
SRC-003,https://www.manitowoc.com/sites/default/files/media/divers/file/2020-01/GMK5150L-Product-Guide-Metric.pdf,manufacturer,2026-05-11,Reference only (not fetched),(parent record),GMK5150L Product Guide PDF referenced by search results; not retrievable in this environment,low,true,"REVIEW REQUIRED. Should be the canonical source for counterweight package tables and transport dimensions. Confirm L-vs-L-1 travel-state attribution from this PDF."
SRC-004,https://cranepedia.com/spec/all-terrain-crane/grove-gmk5150l/,secondary,2026-05-11,WebSearch (WebFetch blocked 403),GMK5150L 12 t/axle taxi (10.2 t),Total counterweight 44.5 t; 10.2 t within 12 t/axle; main boom 12.8-60 m; bi-fold swingaway 11.2/17.8 m; Mercedes OM471LA 390 kW,medium,false,Corroborates the 12 t/axle taxi state for the L variant.
SRC-004B,https://cranepedia.com/spec/all-terrain-crane/grove-gmk5150l/,secondary,2026-05-11,WebSearch (WebFetch blocked 403),GMK5150L 16.5 t/axle reduced heavy-roadable (24.0 t — review-gated),"WebSearch summary citing this URL stated 'the GMK5150L crane is able to carry up to 24 tonnes of counterweight on board'",low-medium,true,"REVIEW REQUIRED. Single search summary. Source URL is for the L variant but the same URL also surfaces 30.9 t in other queries — exact-model attribution must be confirmed against the brochure before automation."
SRC-004C,https://cranepedia.com/spec/all-terrain-crane/grove-gmk5150l-1/,secondary,2026-05-11,WebSearch (WebFetch blocked 403),GMK5150L-1 16.5 t/axle reduced heavy-roadable (30.9 t),WebSearch summary attributes 30.9 t at 16.5 t/axle to the L-1 variant,medium,false,Per the user's brochure-derived correction (2026-05-11): 30.9 t belongs to the L-1 variant at 16.5 t/axle. Verify against L-1 brochure on next access opportunity.
SRC-005,https://cranemarket.com/specs/grove/gmk5150l,marketplace,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),GMK5150L specs corroborating capacity and counterweight,medium,false,Reseller listing; corroborates manufacturer numbers.
SRC-006,https://www.lectura-specs.com/en/model/cranes/all-terrain-cranes-grove/gmk5150l-1165923,secondary,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),GMK5150L production years 2016-2021; specs and dimensions,medium,false,Industry-standard spec aggregator.
SRC-007,https://www.lectura-specs.com/en/model/cranes/all-terrain-cranes-grove/gmk5150l-1-11763429,secondary,2026-05-11,WebSearch (WebFetch blocked 403),(parent record),GMK5150L-1 production years 2021-2026,medium,false,
SRC-008,https://www.heavyequipmentguide.ca/article/25756/grove-gmk5150l-and-gmk5250l-make-north-american-debut,industry-news,2026-05-11,WebSearch (WebFetch blocked 403),GMK5150L 'boom over front <12 t/axle' (7.9 t — single source),"'7.9 t of counterweight in the boom over front travel configuration enabling Gross Vehicle Weight of less than 12 t per axle'",low,true,"REVIEW REQUIRED. Single source. Configuration definition not fully clear vs the 10.2 t at 12 t/axle taxi state in SRC-004."
